as_type	tag	sig1	dPSI	p_value	A1	A2	CTRL1	CTRL2
A3	known	A3_sig	-0.158240682	0.0586913087	0.331396501670847	0.377217095574527	0.495089080340679	0.530005880820786
SE	known	SE_sig	0.1470800044	0.0586913087	0.819492982834281	0.796144210340925	0.639272026560001	0.682205157831587
A5	known	A5_sig	0.1940873455	0.046953047	0.89584261233015	1	0.641858768871281	0.865809152413998
A3	known	A3_sig	0.1856930861	0.0452880453	0.563808403866927	0.196026407594409	0.146936493897835	0.241512145386738
RI	novel	RI_sig	-0.5829667472	0.0452880453	0.222512367481126	0.611554138196379	1	1
RI	known	RI_sig	-0.2750365157	0.037962038	0	0.252815348838838	0.506241135127555	0.296647245203106
AF	novel	AF_sig	-0.7087343219	0	0	0	0.95508522887836	0.462383414836743
RI	known	RI_sig	0.0504756051	0.0405844156	0.992349896959187	0.979184840019809	0.92775295823969	0.942830568581784
RI	novel	RI_sig	-0.3089986145	0.0584415584	0.0814086268077154	0.209097477625452	0	0.908503333513654
RI	novel	RI_sig	-0.066140559	0.0405844156	0.13206786498568	0.147174855257233	0.197331793937555	0.214192044314755
RI	novel	RI_sig	-0.9668944996	0.0405844156	0	0	0.998629114149281	0.935159885009391
AF	novel	AF_sig	-0.1818584183	0.0544455544	0.582135018781386	1	0.945851855469907	1
A3	known	A3_sig	-0.8569231038	0.047952048	0.173565389155696	0.112588403315874	1	1
AF	known	AF_sig	-0.0911770532	0.0516983017	0.571258968970089	0.58881005775654	0.684111966198972	0.658311166997937
AF	known	AF_sig	-0.0911770532	0.0516983017	0.571258968970089	0.58881005775654	0.684111966198972	0.658311166997937
AF	known	AF_sig	0.1672240378	0.031968032	0.465327564415074	0.446301506090671	0.300809551886116	0.276371442989377
SE	known	SE_sig	-1	0	0	0	1	1
AF	known	AF_sig	-0.0706716835	0.0174825175	0.879361376854546	0.896687385742945	0.951017285389881	0.966374844213126
AL	known	AL_sig	-0.4717317162	0.0124875125	0.393285984288845	0.663250583349317	1	1
AF	known	AF_sig	0.5	0.0599400599	1	0	0	0
A3	known	A3_sig	0.029444255	0.042957043	0.808646898559994	0.784209910583891	0.778768026384472	0.755200272733934
SE	known	SE_sig	-0.0334624402	0.042957043	0.921833389879247	0.925848189631653	0.96157476823019	0.953031691639823
SE	known	SE_sig	0.0903946826	0.038961039	0.374527737735852	0.367544552847429	0.295895798693044	0.265387126785384
A3	known	A3_sig	0.0714012039	0.0574425574	0.581002499657422	0.549450170244781	0.508527033703022	0.479123228498528
A5	known	A5_sig	0.1412119156	0.033966034	0.321325426116689	0.0347809406310008	0.0152742099688904	0.0584083256137573
RI	novel	RI_sig	-0.1068755604	0.025974026	0.432790572857824	0.509165412670793	0.565144275146597	0.590562831100774
SE	known	SE_sig	0.3161638385	0.011988012	0.843693331564841	0.7260785490705	0.458012793325017	0.479431410265385
AF	novel	AF_sig	0.5219791948	0.006993007	0.578837009460771	0.676744099065207	0.211622718917567	0
A3	known	A3_sig	0.1474091047	0.0519480519	1	0.939019162383607	0.81847790666421	0.825723046308888
AF	known	AF_sig	0.9077397066	0.03996004	1	0.815479413172417	0	0
RI	novel	RI_sig	0.539930252	0.013986014	0.744311670485233	0.707749511594821	0.372200678138016	0
SE	known	SE_sig	0.3195833746	0.035964036	0.511968235854816	0.416943256056396	0.135220353173929	0.154524389501202
