ORF_percent	AP/AS/APA	Coding_type	Structure_category	diff_percentage	gname	trname	CTRL.flnc.count	A.flnc.count	CTRL.percentage	A.percentage	gene_FLNC_FoldChange	CTRL.class	A.class	log2(angii_flnc/control_flnc)	tag
0.8950819672131147	AS	coding	FSM	0.100066	Stk16	PB.FLNC.18875.14	3	10	0.06122449	0.161290323	0.339486466	Inactive	Minor	1.736965594	up
0.9917081260364843	APA	coding	FSM	0.101082	Ddx52	PB.FLNC.3259.5	1	7	0.019607843	0.120689655	0.185555653	Inactive	Minor	2.807354922	up
0.9629268292682926	AS	coding	FSM	0.101241	Golga2	PB.FLNC.11314.64	6	18	0.092307692	0.193548387	0.516790998	Inactive	Minor	1.584962501	up
0.98856416772554	AS	coding	FSM	0.101562	Dnm1l	PB.FLNC.4427.8	0	13	0	0.1015625	0.590609064	Inactive	Minor	Inf	up
1.0	AS	coding	FSM	0.101695	Gripap1	PB.FLNC.19236.46	0	6	0	0.101694915	0.297680549	Inactive	Minor	Inf	up
0.9839357429718876	APA	coding	FSM	0.101852	Cbll1	PB.FLNC.15372.20	1	5	0.037037037	0.138888889	0.415037499	Inactive	Minor	2.321928095	up
0.8711276332094176	AS	coding	FSM	0.102041	Cpxm2	PB.FLNC.1514.15	1	6	0.020408163	0.12244898	0	Inactive	Minor	2.584962501	up
1.0	APA	coding	FSM	0.102041	Psme3ip1	PB.FLNC.8664.17	0	5	0	0.102040816	0.029747343	Inactive	Minor	Inf	up
1.0	AP	coding	FSM	0.102041	Tbc1d14	PB.FLNC.6104.8	0	5	0	0.102040816	0.485426827	Inactive	Minor	Inf	up
1.0	AP	coding	FSM	0.102863	Cox16	PB.FLNC.15663.20	2	6	0.043478261	0.146341463	-0.166009951	Inactive	Minor	1.584962501	up
0.9959839357429718	AS	coding	FSM	0.103184	Chtop	PB.FLNC.10072.68	1	9	0.01369863	0.116883117	0.076961982	Inactive	Minor	3.169925001	up
1.0	Processing	coding	FSM	0.103659	Eif6	PB.FLNC.12259.4	0	17	0	0.103658537	0.833990049	Inactive	Minor	Inf	up
0.8974358974358975	Processing	coding	FSM	0.103896	Tprkb	PB.FLNC.13172.2	1	5	0.047619048	0.151515152	0.652076697	Inactive	Minor	2.321928095	up
0.8974358974358975	Processing	coding	FSM	0.103896	Tprkb	PB.FLNC.13172.6	1	5	0.047619048	0.151515152	0.652076697	Inactive	Minor	2.321928095	up
0.9447115384615384	Processing	coding	FSM	0.10395	Cx3cl1	PB.FLNC.8661.6	2	13	0.018691589	0.122641509	-0.013546532	Inactive	Minor	2.700439718	up
1.0	Processing	coding	FSM	0.104343	Pkn1	PB.FLNC.8800.24	2	8	0.03125	0.13559322	-0.117356951	Inactive	Minor	2	up
0.7369519832985386	Processing	coding	FSM	0.106808	Rnf14	PB.FLNC.8327.1	4	23	0.031746032	0.138554217	0.397759508	Inactive	Minor	2.523561956	up
1.0	Processing	coding	FSM	0.107505	Cstf1	PB.FLNC.12455.1	2	6	0.068965517	0.176470588	0.229481846	Inactive	Minor	1.584962501	up
0.961730449251248	Processing	coding	FSM	0.108136	Btd	PB.FLNC.7058.12	1	10	0.012345679	0.120481928	0.035189428	Inactive	Minor	3.321928095	up
0.9554716981132075	Processing	coding	FSM	0.108919	Ktn1	PB.FLNC.6537.88	1	14	0.012820513	0.12173913	0.560087832	Inactive	Minor	3.807354922	up
0.9964994165694282	Processing	coding	FSM	0.109091	Mon2	PB.Polish.10705.3	2	7	0.090909091	0.2	0.669851398	Inactive	Minor	1.807354922	up
0.7598784194528876	Processing	coding	FSM	0.109524	Pgap2	PB.FLNC.1216.1	1	6	0.033333333	0.142857143	0.485426827	Inactive	Minor	2.584962501	up
1.0	Processing	coding	FSM	0.111111	Nit1	PB.FLNC.5531.26	4	13	0.088888889	0.2	0.530514717	Inactive	Minor	1.700439718	up
0.9913127413127413	Processing	coding	FSM	0.111111	U2surp	PB.FLNC.17959.11	2	10	0.047619048	0.158730159	0.584962501	Inactive	Minor	2.321928095	up
0.8246753246753247	Processing	coding	FSM	0.111111	Wdr20	PB.FLNC.15889.5	0	5	0	0.111111111	0.404390255	Inactive	Minor	Inf	up
0.9596774193548387	Processing	coding	FSM	0.111408	Dnajc25	PB.FLNC.14082.4	9	36	0.183673469	0.295081967	1.316027493	Minor	Major	2	up
0.9523809523809523	Processing	coding	FSM	0.111658	Timm10b	PB.FLNC.1238.4	2	6	0.095238095	0.206896552	0.465663572	Inactive	Minor	1.584962501	up
0.8625954198473282	Processing	coding	FSM	0.112554	Prtfdc1	PB.FLNC.8106.5	1	5	0.03030303	0.142857143	0.084888898	Inactive	Minor	2.321928095	up
0.8854961832061069	Processing	coding	FSM	0.112554	Prtfdc1	PB.FLNC.8106.8	1	5	0.03030303	0.142857143	0.084888898	Inactive	Minor	2.321928095	up
0.9775910364145658	Processing	coding	FSM	0.112701	Pcmtd1	PB.FLNC.13751.36	3	13	0.038461538	0.151162791	0.140862536	Inactive	Minor	2.115477217	up
1.0	Processing	coding	FSM	0.112745	Cyp4f17	PB.FLNC.16197.34	3	10	0.083333333	0.196078431	0.502500341	Inactive	Minor	1.736965594	up
