biaoji	3UTR	middle_pos	CTRL1.PDUI	CTRL2.PDUI	A1.PDUI	A2.PDUI	p-value	Bonferroni	PDUI_diff	PDUI_fc	gname
known	chr10|102051657|102051978|PB.NM_001008283.1|+	102051795	0.420237656595431	0.45856358713793	1	1	0.003933747412008283	0.0368256209736021	-0.56059937813332	-1.18637277733634	Mettl23
known	chr10|105737451|105737951|PB.XM_003750985.4|-	105737808	0.507132916585448	0.820114319871484	0.998087720370581	1	6.2892653761378816e-06	0.000152397560226077	-0.335420241956825	-0.590175485602669	Arl16
novel	chr10|14250044|14252522|PB.Polish.1710.1|-	14251128	0.452118090792956	0.417138181709821	0.788520023415503	0.946747928504508	0.0006200137597305757	0.00809183915359011	-0.433005839708617	-0.997288411114037	Gnptg
novel	chr10|14251128|14252522|PB.FLNC.2541.8|-	14252089	0.657330956190063	0.614969403488484	0.910876197157647	1	0.0026592122407131107	0.0269804478241351	-0.31928791873955	-0.586787436045656	Gnptg
novel	chr10|25176413|25178504|PB.FLNC.2656.55|-	25178191	0.379609997052592	0.466525197068926	0.808629365050957	0.696230758690795	1.4434171368147628e-27	4.18766520409137e-25	-0.329362464810117	-0.83065437008086	Ccng1
novel	chr10|34626347|34627025|PB.FLNC.2714.432|-	34626692	0.254647892561251	0.316895192772064	0.548215889505476	0.483404334980686	1.3508411925238881e-21	2.66317081415687e-19	-0.230038569576423	-0.851955283754597	Canx
novel	chr10|34626347|34627025|PB.FLNC.2714.432|-	34626748	0.19911026259861	0.269446589369139	0.555535033389564	0.494542712351651	4.4908844733150095e-32	1.53039363107301e-29	-0.290760446886733	-1.16416603292217	Canx
novel	chr10|35946900|35949882|PB.XM_006246241.4|-	35946977	0.605027029524557	0.535873107475049	0.85760705905434	0.989151538546633	0.00011658920584053137	0.00195857093911609	-0.352929230300683	-0.694813109850044	Sec24a
novel	chr10|35946900|35949882|PB.XM_006246241.4|-	35949441	0.672684206494305	0.602620872708967	0.967050397863581	1	2.1185490866409266e-06	5.79350739201613e-05	-0.345872659330155	-0.625183554350898	Sec24a
novel	chr10|36053476|36054065|PB.FLNC.2736.3|+	36053903	0.207144695495426	0.324517902980449	0.462790145631759	0.608212660358689	1.4129141044961758e-05	0.000309213587252073	-0.269670103757287	-1.01035204655497	Sar1b
novel	chr10|36239134|36239457|PB.FLNC.2740.4|+	36239381	0.569564302252158	0.455287288634643	0.878269243998074	0.889421626152557	6.083269898503502e-05	0.00112782142876487	-0.371419639631915	-0.78643916269008	Cdkn2aipnl
novel	chr10|39614996|39616411|PB.FLNC.2801.6|+	39615845	0.382634118878564	0.403469008011453	0.544267717776419	0.690023526766753	0.0003176025796802717	0.00463851005656854	-0.224094058826578	-0.65087903301086	G3bp1
novel	chr10|46197784|46200212|PB.NM_001033914.2|-	46199075	0.682598930520598	0.51657803809116	1	0.911403893356737	1.6438436317648418e-10	1.00833368372455e-08	-0.35611346237249	-0.672579116433064	Epn2
known	chr10|4927803|4930938|PB.XM_008767506.3|-	4930803	0.49241157113811	0.732122675382307	0.930870589196357	1	0.0011131156830771717	0.0131811806949718	-0.35316817133797	-0.657009733359397	Clec16a
novel	chr10|59534115|59536823|PB.NM_031763.3|-	59536631	0.457460811169259	0.54694088341061	0.698712049033481	0.824810377302085	6.177985571941534e-05	0.00114340665727597	-0.259560365877848	-0.601064580611485	Pafah1b1
novel	chr10|59534740|59536823|PB.FLNC.3094.47|-	59536631	0.340046735046705	0.42954280628485	0.676502977799472	0.600672328514798	6.776875620145926e-05	0.00123613205343172	-0.253792882491358	-0.730780565808473	Pafah1b1
known	chr10|60281971|60283110|PB.NM_001134360.1|-	60283016	0.298833838537599	0.608614581391013	0.904689420994087	0.919163002095446	0.00014505269038150097	0.00236636490106417	-0.458202001580461	-1.00708547582321	Wdr81
known	chr10|62319659|62320994|PB.XM_008768134.3|-	62320869	0.673159828306873	0.638442341925861	1	1	0.00041200711784242515	0.00580024971341575	-0.344198914883633	-0.608662234082771	Ankrd13b
known	chr10|62319659|62321049|PB.XM_008768135.3|-	62320937	0.661502431994235	0.591288566243194	1	1	0.00041200711784242515	0.00580024971341575	-0.373604500881285	-0.674845643880497	Ankrd13b
novel	chr10|65478026|65479770|PB.FLNC.3215.62|+	65478502	0.46592894583576	0.679600760345675	0.915326940249465	0.837782624953862	3.3703563204137907e-06	8.70736219530249e-05	-0.303789929510946	-0.6138925630281	Psmd11
novel	chr10|65478285|65479435|PB.NM_001107027.1|+	65478489	0.453364921007838	0.723858553127664	1	0.964592565431159	3.133408029712272e-12	2.46414421208398e-10	-0.393684545647828	-0.738832106240571	Psmd11
novel	chr10|65478285|65479435|PB.NM_001107027.1|+	65478542	0.492906686221409	0.784377238608403	1	1	1.3399526711999707e-11	9.62121869498066e-10	-0.361358037585094	-0.646912582593143	Psmd11
novel	chr10|65478285|65479774|PB.XM_039086026.1|+	65478489	0.434743596114875	0.652553939256327	0.896509410342877	0.874338326769679	1.9743930951076027e-07	6.77128520109666e-06	-0.341775100870677	-0.703683143714771	Psmd11
novel	chr10|65478285|65479774|PB.XM_039086026.1|+	65478542	0.473459669946963	0.701684082066619	1	0.962134704817518	6.185768099949292e-11	4.00006793186179e-09	-0.393495476401968	-0.739576992707853	Psmd11
novel	chr10|68241170|68244156|PB.FLNC.3248.16|-	68243747	0.575131821480639	0.229455974108305	1	1	0.0025062656641603983	0.025775865369395	-0.597706102205528	-1.31365680592112	Mmp28
novel	chr10|73143759|73148980|PB.XM_039087662.1|-	73148769	0.589190836103955	0.723215244258454	1	1	2.4163660702849706e-05	0.000502197126456418	-0.343796959818796	-0.607778258573996	Msi2
